story_id,title,epic,priority,current_status,target_state,assessment
US-001,Connect All Analysis Endpoints to TimescaleDB,Foundation / Live Data,P0,partial,hardened,"Viele Analysepfade nutzen DB, aber `routes/analysis.py` hat noch Replay/Parquet-Fallback vor DB."
US-002,Dynamic Market Selector,Foundation / Live Data,P0,partial,hardened,"Backend liefert Marktinfos, Frontend löst Kontrakte aber weiterhin über harte SYMBOL_MAP auf."
US-003,Timeframe Selector with On-the-fly Aggregation,Foundation / Live Data,P0,partial,hardened,"REST-Aggregation existiert, der Live-/WS-Pfad ist für höhere Timeframes nicht konsistent."
US-004,WebSocket Endpoint for Live Bar Updates,Foundation / Live Data,P0,partial,hardened,"WS-Endpunkt existiert, aber liefert rohe Symbolbars ohne timeframe-spezifischen Vertrag."
US-005,Frontend WebSocket Hook (useMarketData),Foundation / Live Data,P0,partial,hardened,"Hook existiert und lädt REST+WS, aber mit harten URLs und falscher WS-Semantik."
US-006,Session Panel — Live Data,Live Panels / HUD,P0,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-007,Confluence Panel — Live Score,Live Panels / HUD,P0,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
US-008,Patterns Panel — Live Patterns,Live Panels / HUD,P0,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
US-009,Feed Panel — Real Events,Live Panels / HUD,P0,partial,hardened,"Backend-Feed existiert, aber das UI baut Feed-Items weiterhin clientseitig zusammen."
US-010,Risk Panel — Connected to Config and Daily Check,Live Panels / HUD,P0,partial,hardened,"Settings-/Config-Funktionen sind angelegt, aber noch nicht Teil einer SaaS-ready Control Plane."
US-011,HUD Metrics Strip — Live Values,Live Panels / HUD,P1,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
US-012,VWAP Overlay with Standard Deviation Bands,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-013,EMA Ribbon Overlay,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-014,Volume Profile Sidebar,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-015,Session Separators,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-016,Previous Day Levels,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-017,Opening Range Box,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-018,BOS/CHoCH Markers,Chart Enhancements,P1,not_done,required,BOS/CHoCH-Marker im primären Chartpfad explizit deaktiviert.
US-019,Pattern Markers and Range Boxes,Chart Enhancements,P1,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
US-020,Probability Target Zone,Chart Enhancements,P1,partial,hardened,"Feature im Chart-/Analysebereich sichtbar, aber Rendering-/Realtime-/Object-Verträge bleiben zu härten."
US-021,Velocity Module,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-022,Auction Quality Module,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-023,Naked POC Tracker,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-024,5-Bias-State System,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-025,Bias-Switch-Level,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-026,Opening Fake Detection,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-027,Double Fake Exhaustion,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-028,60% Correction Monitor,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-029,Key Level Identification,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-030,Daily Bias Endpoint,BIAS Integration,P1,implemented,hardened,BIAS-/Regelmodul im Code sichtbar und als wertvoller Rohbau vorhanden; trotzdem Integrationshärtung nötig.
US-031,Bias Panel (Frontend),BIAS Integration,P1,partial,hardened,"Bias-bezogene Funktion teilweise sichtbar, aber noch nicht voll in den kanonischen Produktfluss integriert."
US-032,Chart Overlays for BIAS Levels,BIAS Integration,P1,partial,hardened,"Bias-bezogene Funktion teilweise sichtbar, aber noch nicht voll in den kanonischen Produktfluss integriert."
US-033,Replay Engine Refactor,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-034,Replay Timeline Scrubber,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-035,Replay Transport Controls,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-036,Replay Speed Control,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-037,Replay-Synced Panels,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-038,Replay-Synced Chart,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-039,Replay Date Picker,Replay,P2,partial,hardened,"Replay ist vorhanden, aber noch nicht für alle Analysepfade und UI-Zustände konsistent."
US-040,"""Would You Have Traded?"" Decision Tracker",Replay,P2,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
US-041,Feed Event Engine (Backend),Feed / Alerts,P2,partial,hardened,"Teilweise umgesetzt; wesentliche Pfad-, Integrations- oder Beweisarbeit fehlt noch."
